TIPO_VENTA,DOCUMENTO,CORRELATIVO,CODIGO,RAZON_SOCIAL,TIPO_CLIENTE,SKU,ARTICULO,G_PROVEEDOR,ACCTCODEN2,N1,N11,N2,N21,N3,N31,N4,N41,COMERCIAL,ALM,CANT,U#M#,T/C,COSTO,C_TOTAL,P_UNIT,P_TRAS_DESC,V_TOTAL,UTILIDAD
Venta Stock,01 - FACTURA,F001-0025891,C000132,SAILORPAINT S.A.,Nacional,A000182,DISPERBYK 108 - 190 KG,BYK ADDITIVES,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,11,19,KG,1,"5,799","110,181","10,4","10,4","197,6","87,419"
Venta Stock,01 - FACTURA,F001-0025890,C000255,AMBIENTALTEC CIA. LTDA,Nacional,A000359,NATROSOL 250 H4BR - 22.680 KG,ASHLAND,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,10,567,KG,1,"8,449","4790,583",10,10,5670,"879,417"
Venta Stock,01 - FACTURA,F001-0023961,C000024,CIPEQ CIA. LTDA.,Nacional,A001088,CLAYTONE AF - 20 KG,BYK ADDITIVES,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,10,40,KG,1,"4,434","177,36","5,49","5,49","219,6","42,24"
Venta Stock,01 - FACTURA,F001-0023958,C000190,PINTURAS LIDER PINLID CIA. LTDA.,Nacional,A001088,CLAYTONE AF - 20 KG,BYK ADDITIVES,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,10,200,KG,1,"4,434","886,8","5,49","5,49",1098,"211,2"
Venta Stock,01 - FACTURA,F001-0023939,C000132,SAILORPAINT S.A.,Nacional,A000955,DCC BLUE 3153 - 20 KG,DCL,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,10,40,KG,1,"10,455","418,2","12,8","12,8",512,"93,8"
Venta Stock,01 - FACTURA,F001-0023929,C000034,ECUABARNICES S.A.,Nacional,A001259,RAVEN 1010 POWDER - 10 KG,BIRLA CARBON,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,10,80,KG,1,"3,732","298,56","5,8","5,8",464,"165,44"
Venta Stock,01 - FACTURA,F001-0023928,C000002,ADHEPLAST S.A.,Nacional,A001002,ANTITERRA 205 - 175 KG,BYK ADDITIVES,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,10,350,KG,1,"10,052","3518,2","11,65","11,65","4077,5","559,3"
Venta Stock,01 - FACTURA,F001-0023927,C000024,CIPEQ CIA. LTDA.,Nacional,A000723,DISPERBYK 191 - 200 KG,BYK ADDITIVES,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,10,200,KG,1,"14,908","2981,6","18,98","18,98",3796,"814,4"
Venta Stock,01 - FACTURA,F001-0023926,C000002,ADHEPLAST S.A.,Nacional,A000373,CULMINAL 20000 S - 20 KG,ASHLAND,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,40,200,KG,1,"13,188","2637,6","19,1","19,1",3820,"1182,4"
Venta Stock,01 - FACTURA,F001-0023925,C000109,PINTURAS UNIDAS S.A.,Nacional,A000477,CULMINAL 35000 P1R - 25 KG,ASHLAND,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,40,1300,KG,1,"6,983","9077,9","8,1","8,1",10530,"1452,1"
Venta Stock,01 - FACTURA,F001-0023925,C000109,PINTURAS UNIDAS S.A.,Nacional,A000476,SILIPON RN 6031 - 25 KG,ASHLAND,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,40,100,KG,1,"5,928","592,8","8,6","8,6",860,"267,2"
Venta Stock,01 - FACTURA,F001-0023919,C000106,PINTURAS CONDOR S.A,Nacional,A000573,CINTA ADHESIVA ASTM -PERMACEL 99 (8660),BYK INSTRUMENTS,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,10,2,RL,1,"0,1","0,2",30,30,60,"59,8"
Venta Stock,01 - FACTURA,F001-0023912,C000132,SAILORPAINT S.A.,Nacional,A000141,BYK 066N - 20 KG,BYK ADDITIVES,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,10,20,KG,1,"12,881","257,62",18,18,360,"102,38"
